4 5 100
b 16 01 11
n 2 5 100
b 16 02 11
b 16 01 11
n 2 5 100
b 8 01 11
n 4 0 100
b 4 00 11
b 8 01 11
n 4 3 104
b 8 01 11
n 4 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 0 110
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 3 110
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 200
b 16 01 11
n 4 0 300
b 8 01 11
n 4 3 100
b 4 00 11
b 8 01 11
n 4 4 100
b 16 01 11
n 3 3 300
b 16 01 11
n 3 0 300
b 8 01 11
n 1 5 100
b 16 01 11
n 3 0 300
b 16 01 11
n 2 0 100
b 8 01 11
n 4 5 100
b 4 01 11
n 4 0 100
b 16 01 11
n 3 3 100
b 16 02 11
b 16 01 11
n 3 0 100
b 8 01 11
n 3 3 100
b 8 11 11
n 3 4 100
b 16 01 11
n 4 0 200
b 16 01 11
n 4 0 300
b 8 01 11
n 1 0 100
b 16 02 11
b 16 01 11
n 2 4 100
b 16 02 11
b 16 01 11
n 3 2 100
b 16 01 11
n 3 0 100
b 16 01 11
n 4 5 100
b 16 01 11
n 2 7 100
b 16 01 11
n 2 5 100
b 16 01 11
n 2 7 100
b 16 01 11
n 2 5 100
b 4 00 11
b 16 01 11
n 1 7 100
b 16 01 11
n 1 7 100
b 16 01 11
n 1 7 100
b 16 01 11
n 1 7 100
b 4 00 11
b 16 01 11
n 3 7 100
b 16 01 11
n 3 7 100
b 16 01 11
n 2 7 100
b 16 01 11
n 2 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 8 100
b 16 01 11
n 4 10 100
b 16 02 11
b 16 01 11
n 4 10 100
b 16 01 11
n 4 10 100
b 16 01 11
n 4 12 100
b 4 00 11
b 8 01 11
n 1 12 100
n 2 10 100
b 8 01 11
n 1 12 100
n 2 10 100
b 16 01 11
n 1 12 100
n 2 10 100
b 8 01 11
n 1 12 100
n 2 10 100
b 16 01 11
n 1 12 100
n 2 10 100
b 8 01 11
n 1 14 100
n 2 14 100
b 16 01 11
n 1 16 100
b 16 01 11
n 3 15 100
b 16 01 11
n 2 17 100
b 16 01 11
n 3 15 100
b 16 01 11
n 2 17 100
b 16 01 11
n 3 15 100
b 16 01 11
n 2 17 100
b 16 01 11
n
