 1 01 11
n 4 0 100
b 4 00 11
b 4 01 11
n 3 13 100
b 32 01 11
n 1 3 100
b 16 01 11
n 3 3 100
b 8 11 11
n 2 3 100
b 8 01 11
n 2 0 100
b 8 01 11
n 2 0 200
b 4 00 11
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 8 10 11
n 4 7 100
b 16 01 11
n 4 0 300
b 16 01 11
n 4 0 300
b 4 00 11
b 4 01 11
n 2 5 100
b 4 02 11
b 4 00 11
b 8 01 11
n 4 1 100
b 16 01 11
n 4 1 300
b 12 01 11
n 4 3 300
b 4 01 11
n 1 5 100
b 8 01 11
n 2 5 100
b 16 01 11
n 2 5 110
b 16 01 11
n 2 7 100
b 2 01 11
n 4 7 100
b 8 01 11
n 4 7 100
b 8 01 11
n 4 7 104
b 4 00 11
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 4 15 100
b 8 01 11
n 1 15 100
b 8 01 11
n 1 15 100
b 8 01 11
n 1 15 100
b 8 01 11
n 1 15 200
b 8 01 11
n 1 15 200
b 4 01 11
n 3 8 100
b 4 00 11
b 16 01 11
n 4 5 100
b 16 02 11
b 8 01 11
n 4 5 100
b 8 01 11
n 4 0 200
b 8 02 11
b 4 02 11
b 4 02 11
b 8 01 11
n 3 10 100
b 8 01 11
n 3 8 100
b 8 01 11
n 4 8 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 0 300
b 16 01 11
n 1 5 100
b 16 01 11
n 3 5 300
b 16 01 11
n 1 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 8 11 11
n 3 5 104
b 4 00 11
b 16 01 11
n 4 9 100
b 32 01 11
n 4 6 100
b 32 01 11
n 4 6 100
b 32 01 11
n 4 6 100
b 32 01 11
n 4 6 100
b 16 01 11
n 4 6 100
b 16 02 11
b 8 01 11
n 4 6 100
b 16 01 11
n 4 2 100
b 16 01 11
n 4 2 100
b 4 02 11
b 16 02 11
b 8 11 11
n 3 4 100
b 16 01 11
n 3 5 200
b 16 01 11
n 3 7 100
b 8 01 11
n 3 7 100
b 8 01 11
n 4 0 100
b 8 0
